Port,O1,O2,O3,O4,O5,O6,O7,O8,A,B
O1,0,600,1715,8654,11552,5589,5351,3133,6505,7362
O2,600,0,1217,9177,11769,6037,5802,3058,6974,7960
O3,1715,1217,0,10368,11516,6206,5995,2356,8190,8898
O4,8654,9177,10368,0,2978,5476,5611,9715,2256,1940
O5,11552,11769,11516,2978,0,6872,7099,10073,5065,4477
O6,5589,6037,6206,5476,6872,0,239,4287,5619,3630
O7,5351,5802,5995,5611,7099,239,0,4130,5626,3734
O8,3133,3058,2356,9715,10073,4287,4130,0,8732,7782
A,6505,6974,8190,2256,5065,5619,5626,8732,0,0
B,7362,7960,8898,1940,4477,3630,3734,7782,0,0
