Port,Containers,Capacity
Shanghai,3152176.464,3528600
Yantian,2997473.9,2997473.9
Ningbo,1274043.383,1945000
Qingdao Gang,830008.225,1662400
Ho Chi Minh,781320.3269,781320.3269
Pusan,730615.3388,1842300
Xiamen,591282.8108,857200
Kao-Hsiung,535276.1257,1059300
Bremerhaven,502075.1601,579600
Laem Chabang,395626.8346,651800
Hong Kong,346447.4014,2237400
Jawaharlal Nehru,328967.8031,449600
Antwerpen,316058.29,913600
Chiwan,313085.2683,447000
Tianjin,301140.0656,1405000
Rotterdam,258755.8935,1245300
Hamburg,216309.0611,972900
Tanjung Pelepas,211250.2156,789700
Tokyo,202283.9171,491700
La Spezia,161890.2638,161890.2638
Le Havre,162261.9007,255400
Puerto Cortes,160698.9522,160698.9522
Mundra,159218.0832,159218.0832
Nagoya Ko,155655.9414,274000
Jakarta,130289.1798,503400
Santos,128117.0356,368500
Guayaquil,121725.019,162138.1
Genova,121275.0884,217300
Kobe,120992.6782,262800
Surabaja,117377.6395,180000
Santo Tomas,114358.3228,114358.3228
Puerto Barrios,111032.5169,111032.5169
Singapore,99695.12062,3386900
Puerto Moin,98841.36589,110626.7
Qasim,94453.36255,94453.36255
Chittagong,93767.9,162900
Manila,91064.76582,367300
Southampton,87532.31602,166200
Haifa,85320.53877,119600
Algeciras,85234.41258,445700
Valencia,84124.65998,444200
Valparaiso,84120.55536,90254.2
Cartagena,82306.63897,238554.2
Livorno,76963.47567,76963.47567
Dalian,76315.58561,1012800
Yokohama Ko,75710.25478,277500
Puerto San Antonio,74777.81961,107747.8
Puerto Del Callao,73370.07689,199200
Guangzhou,73360.95905,1616000
Da Chan Bay,73168.79902,100000
Melbourne,67779.93421,255400
Gdynia,67015.79331,121200
Puerto Limon,65592.32299,74802.9
Liverpool,55377.0244,58805.3
Semarang,53700.27005,53700.27005
Felixstowe,50353.62262,368000
St Petersburg,50249.87383,237500
Buenos Aires,48774.12,140076
Sines,48223.7483,50385.2
All Ports in Cambodia,47857.94,47857.94
Mina Jabal Ali,46274.52564,1475000
Puerto Castilla,45419.03785,45419.03785
Tauranga,44378.83111,85110
Acajutla,44253.84,44253.84
Goteborg,43782.81498,92684.4
Colombo,43015.33,409700
Kelang,42664.40628,1073600
Gwangyang Hang,40856.65125,231800
Shilong,40382.94606,294300
Fuzhou,40376.39139,223700
Taipei,40046.54703,133000
Gioia Tauro,40006.70837,306200
Marseille,39557.91188,106200
Manzanillo (Mex),38368.75845,236874.1
Shimizu,37851.3048,37851.3048
Mumbai,37075.6601,200000
Constantinopole,36861.47165,344500
Cagliari,35945.19083,100000
Vitoria,35716.32264,35716.32264
Palembang,35213.29184,35213.29184
Vienna,34492.74,34492.74
Sydney,32332.56409,224700
Durban,32084.23857,266400
Navegantes,32011.40868,59335.9
Corinto,31159.6257,31159.6257
Bahia San Vicente,30741.19398,45617.6
Bratislava,29463.88,29463.88
Cebu,29426.51342,29426.51342
Haina,29396.01341,41764.2
Caucedo,29091.07551,82693.5
Rio de Janeiro,28377.89562,28377.89562
Lazaro Cardenas,27850.49362,105874.7
Gemlik,27712.88177,70836.5
Santo Domingo,26665.12512,26665.12512
Puerto Quetzal,26491.56586,38920.9
Piraievs,26313.93263,66713.5
Aliaga,26677.82233,53651.8
Izmir,25509.20683,82159.1
Damietta,24788.6159,121318.7
Puerto Caldera,24597.12112,24597.12112
Rio Grande,23990.70628,72678.5
St John,23439.7061,23439.7061
Aarhus,23342.22113,23342.22113
Mersin,23472.47697,148400
Lianyungang,23111.2782,500500
Belawan,22888.63969,22888.63969
Progreso,20393.15109,20393.15109
Port De Salvador,20293.72575,28350
Mina Raysut,19999.61341,303000
Altamira,19691.28356,64736.9
South Riding Point,19644.89157,140000
Napoli,19630.66812,50000
Barcelona,19181.57734,189400
Sepetiba Bay,19167.17803,22817.3
constanta,18746.84,18746.84
Auckland,18678.07814,84359
Pipavav Bandar,18238.46137,18238.46137
Veracruz,18073.08897,93161.3
All Other Chile Ports,17499.66273,17499.66273
Port Adelaide,15968.86476,38268.1
Rauma,15664.77,15664.77
All Other Norway Ports,14933.9,14933.9
Halifax,14536.43688,41835.9
Port Said,13922.20384,303600
Montevideo,13859.14,81129.7
Hakata,13478.45897,72282.6
Paita,13420.50311,21448.3
Klaipeda,13418,13418
Puerto Plata,12942.91969,12942.91969
Dublin,12905.22453,215300
