Port,Containers,Capacity
1,2398052.066,3528600
2,2281494.081,2379800
3,968673.4833,1945000
4,631067.1747,1662400
5,394835.4543,633400
6,501034.0746,1842300
7,450887.895,857200
8,372790.9026,1059300
9,268986.1842,579600
10,323354.4201,651800
11,435756.9854,2237400
12,182173.4205,449600
13,162416.3083,913600
14,238043.9563,447000
15,228969.1171,1405000
16,196411.7398,1245300
17,115758.2293,972900
18,181478.2107,789700
19,165910.9644,491700
20,101444.5845,130100
21,110698.6011,255400
22,131708.4829,131708.4829
23,88170.64325,148000
24,127667.2298,274000
25,105486.0979,503400
26,105009.1536,368500
27,102241.961,162138.1
28,78000.56708,217300
29,99255.62776,262800
30,95609.03125,180000
31,92653.57836,92653.57836
32,89958.99692,89958.99692
33,51744.98277,3386900
34,81584.55724,110626.7
35,102480.037,102480.037
36,100355.0706,162900
37,69791.27976,367300
38,67006.83244,166200
39,63468.2501,119600
40,44209.29472,445700
41,43500.1545,444200
42,62432.77373,90254.2
43,72315.50927,238554.2
44,48227.28451,48227.28451
45,58023.83585,1012800
46,62096.68847,277500
47,55498.76213,107747.8
48,43513.85417,199200
49,56808.67698,1616000
50,55631.28881,100000
51,52388.48533,255400
52,40555.23,121200
53,54140.49656,74802.9
54,42391.64646,58805.3
55,43477.37818,53700.27005
56,38546.18393,368000
57,26987.83799,237500
58,47884.67,140076
59,30425.09523,50385.2
60,43556.38,47857.94
61,18084.95972,1475000
62,36138.38711,36138.38711
63,45750.76456,85110
64,39812.52,39812.52
65,46564.05424,92684.4
66,27618.82,409700
67,39027.42111,1073600
68,28018.26538,231800
69,27985.93618,294300
70,30698.7503,223700
71,30399.27743,133000
72,25886.07939,306200
73,26712.91932,106200
74,23264.60062,236874.1
75,31045.20899,37851.3048
76,20531.49199,200000
77,18752.80339,344500
78,22524.17695,100000
79,29274.33337,29274.33337
80,28509.75618,35213.29184
81,30674.09,32300
82,27337.11246,224700
83,30088.84573,266400
84,26237.65774,59335.9
85,24687.08916,24687.08916
86,22815.56511,45617.6
87,22428.77,22428.77
88,22336.40586,29426.51342
89,20455.99777,41764.2
90,26914.73035,82693.5
91,23259.50476,27999.1
92,17173.80245,105874.7
93,13332.42486,70836.5
94,18555.63652,18555.63652
95,24386.19472,38920.9
96,15051.17,66713.5
97,12834.46683,53651.8
98,12272.25614,82159.1
99,20669.06139,121318.7
100,20302.68621,23526.8
101,19663.61264,72678.5
102,18278.76789,18278.76789
103,24029.64501,24029.64501
104,11292.40323,148400
105,17571.83676,500500
106,18531.34152,22888.63969
107,12282.17577,12282.17577
108,18597.19978,28350
109,5262.31,303000
110,11292.66958,64736.9
111,24900.96,140000
112,14317.10274,50000
113,11971.40674,189400
114,15710.08205,22817.3
115,6267.48,9200.5
116,24282.40544,84359
117,10099.96376,17700
118,10744.80739,93161.3
119,12987.93712,17499.66273
120,12296.89419,38268.1
121,16873.48,16873.48
122,16511.84,16511.84
123,11096.23219,41835.9
124,12416.56641,303600
125,7570.4,81129.7
126,11819.8786,72282.6
127,7959.345826,21448.3
128,6393.55,13418
129,12382.84708,12382.84708
130,13342.97387,215300
131,5654.16,22000
132,13040.32,17845.2
133,9036.298492,50000
134,7989.964799,12251.91
135,5008.245446,420000
136,13028.81,76700
137,10688.08697,10688.08697
138,13547.99191,13547.99191
139,9474.654266,76612.7
140,20264.93376,160712.2
141,7033.59,10033.93
142,10089.2234,10089.2234
143,10163.43471,98375.6
144,9909.836528,9909.836528
145,6435.75132,61200
146,7997.991632,16003.4
147,6892.830836,8700.014303
148,8946.527369,8946.527369
149,21808.05,21808.05
150,4437.862866,8013.869388
151,9734.06,18000
152,5700.249901,125000
153,3329.57,7640.64
154,4870.86051,335400
155,5700.054417,236100
156,6309.431464,140603
157,5062.7,13845.9
158,3451.461227,6914.230364
159,32912.82828,43824.4
160,5846.861674,84485.6
161,2769.278773,6789.649636
162,3309.011472,6878.13692
163,5472.190755,6113.438868
164,6387.929228,17928.8
165,5098.068808,256410.2
166,3681.215749,155200
167,2875.306085,5976.633538
168,5250.81,5763.88
169,5475.756024,323635.5
170,4483.402227,216100
171,6554.843007,14888
172,4156.157594,5244.521307
173,3995.636696,5223.27648
174,3081.85,53000
175,1770.38,4872.01
176,2456.660016,4861.362842
177,2764.77,10000
178,296.0702819,425600
179,3332.690353,291290
180,1052.74,286900
181,1843.69,184017.3
182,6564.994554,165500
183,6422.41303,159100
184,2951.099878,153600
185,842.4421962,152000
186,177.4565144,151400
187,2319.416201,126600
188,4205.089233,116030
189,2246.445009,100000
190,3512.3,99460.1
191,3231.349383,91153.3
192,3812.049368,81278.3
193,221.0855918,78234.6
194,3342.72,77314.1
195,947.5394904,76088.3
196,2454.301131,75000
197,5998.16,75000
198,0.32,61716.9
199,690.42,60000
200,404.59,60000
