ID,Containers,Capacity
1,3154027.05,3528600
2,2999931.38,2999931.38
3,1274043.38,1945000
4,830008.23,1662400
5,781320.33,781320.33
6,730615.34,1842300
7,593028.25,857200
8,537927.15,1059300
9,502635.1,579600
10,395626.83,651800
11,346447.4,2237400
12,328967.8,449600
13,317677.84,913600
14,313099.27,447000
15,301145.07,1405000
16,258755.89,1245300
17,216309.06,972900
18,211250.22,789700
19,202283.92,491700
20,161890.26,161890.26
21,164111.13,255400
22,164106.52,164106.52
23,159218.08,159218.08
24,155655.94,274000
25,130289.18,503400
26,128117.04,368500
27,121725.02,162138.1
28,124477.15,217300
29,121015.61,262800
30,118096.14,180000
31,114358.32,114358.32
32,111032.52,111032.52
33,101432.95,3386900
34,98841.37,110626.7
35,94453.36,94453.36
36,94980.73,162900
37,91870.05,367300
38,87532.32,166200
39,85320.54,119600
40,85496.06,445700
41,84124.66,444200
42,84120.56,90254.2
43,82306.64,238554.2
44,76963.48,76963.48
45,76315.59,1012800
46,75710.25,277500
47,74777.82,107747.8
48,73370.08,199200
49,74717.35,1616000
50,73168.8,100000
51,68032.19,255400
52,67236.24,121200
53,65592.32,74802.9
54,55377.02,58805.3
55,53700.27,53700.27
56,50353.62,368000
57,50249.87,237500
58,48774.12,140076
59,51249.98,51249.98
60,47857.94,47857.94
61,47110.04,1475000
62,45419.04,45419.04
63,48269.85,85110
64,44253.84,44253.84
65,43782.81,92684.4
66,43015.33,409700
67,45598.85,1073600
68,40856.65,231800
69,40382.95,294300
70,40376.39,223700
71,43344.83,133000
72,41538.15,306200
73,39557.91,106200
74,40832.55,236874.1
75,37851.3,37851.31
76,37075.66,200000
77,38758.93,344500
78,35945.19,100000
79,35716.32,35716.32
80,35213.29,35213.29
81,34492.74,34492.74
82,33242.26,224700
83,36387.83,266400
84,32011.41,59335.9
85,31159.63,31159.63
86,30741.19,45617.6
87,29463.88,29463.88
88,29426.51,29426.51
89,29396.01,41764.2
90,35338.17,82693.5
91,28377.9,28377.9
92,29946.35,105874.7
93,27712.88,70836.5
94,26665.13,26665.13
95,30098.83,38920.9
96,27070.23,66713.5
97,26677.82,53651.8
98,25509.21,82159.1
99,24788.62,121318.7
100,24597.12,24597.12
101,23990.71,72678.5
102,24353.49,24353.49
103,26290.75,26290.75
104,23472.48,148400
105,23111.28,500500
106,22888.64,22888.64
107,21543.94,21543.94
108,22689.62,28350
109,20056.38,303000
110,19691.28,64736.9
111,20200.93,140000
112,22847.94,50000
113,23151.42,189400
114,19167.18,22817.3
115,18846.84,18846.84
116,25951.17,84359
117,18238.46,18238.46
118,18735.96,93161.3
119,17499.66,17499.66
120,15968.86,38268.1
121,15664.77,15664.77
122,14933.9,14933.9
123,14966.09,41835.9
124,14891.31,303600
125,13859.14,81129.7
126,14411.17,72282.6
127,13420.5,21448.3
128,13418,13418
129,17000.1,17000.1
130,13144.43,215300
131,12823.36,22000
132,16213.42,17845.2
133,16915.94,50000
134,13902.38,13902.38
135,12451.79,420000
136,11468.5,76700
137,13088.55,13088.55
138,18254.27,18254.27
139,11220.24,76612.7
140,10197.3,160712.2
141,10033.93,10033.93
142,9894.01,9894.01
143,12399.96,98375.6
144,12090.55,12090.55
145,11634.65,61200
146,9103,16003.4
147,8700.01,8700.01
148,11883.96,11883.96
149,8572.21,8572.21
150,8013.87,8013.87
151,9715.67,18000
152,7662.86,125000
153,7951.65,7951.65
154,7827.09,335400
155,7500.53,236100
156,7380.28,140603
157,6992.82,13845.9
158,8948.31,8948.31
159,17870.18,43824.4
160,6806.06,84485.6
161,6789.65,6789.65
162,6878.14,6878.14
163,6113.44,6113.44
164,7675.03,17928.8
165,5963.32,256410.2
166,6647.52,155200
167,5976.63,5976.63
168,5902.46,5902.46
169,6405.11,323635.5
170,5466.31,216100
171,7561.53,14888
172,5776.27,5776.27
173,5280.92,5280.92
174,6753.59,53000
175,4872.01,4872.01
176,4861.36,4861.36
177,4324.89,10000
178,771.24,425600
179,4497.19,291290
180,434.26,286900
181,3667.53,184017.3
182,1253.9,165500
183,6814.43,159100
184,3610.7,153600
185,1010.35,152000
186,256.06,151400
187,2699.92,126600
188,5530.72,116030
189,2954.63,100000
190,1869.27,99460.1
191,3677.79,91153.3
192,4385.85,81278.3
193,269.74,78234.6
194,3373.75,77314.1
195,1519.55,76088.3
196,3228.01,75000
197,1581.96,75000
198,2291.3,61716.9
199,1820.05,60000
200,1721.55,60000
