Port,Containers,Capacity
Shanghai,3154027.05,35286000.00
Yantian,2999931.38,23798000.00
Ningbo,1274043.38,19450000.00
Qingdao Gang,830008.23,16624000.00
Ho Chi Minh,781320.33,6334000.00
Pusan,730615.34,18423000.00
Xiamen,593028.25,8572000.00
Kao-Hsiung,537927.15,10593000.00
Bremerhaven,502635.10,5796000.00
Laem Chabang,395626.83,6518000.00
Hong Kong,346447.40,22374000.00
Jawaharlal Nehru,328967.80,4496000.00
Antwerpen,317677.84,9136000.00
Chiwan,313099.27,4470000.00
Tianjin,301145.07,14050000.00
Rotterdam,258755.89,12453000.00
Hamburg,216309.06,9729000.00
Tanjung Pelepas,211250.22,7897000.00
Tokyo,202283.92,4917000.00
La Spezia,161890.26,1301000.00
Le Havre,164111.13,2554000.00
Puerto Cortes,164106.52,624302.00
Mundra,159218.08,1480000.00
Nagoya Ko,155655.94,2740000.00
Jakarta,130289.18,5034000.00
Santos,128117.04,3685000.00
Guayaquil,121725.02,1621381.00
Genova,124477.15,2173000.00
Kobe,121015.61,2628000.00
Surabaja,118096.14,1800000.00
Santo Tomas,114358.32,529588.00
Puerto Barrios,111032.52,432476.00
Singapore,101432.95,33869000.00
Puerto Moin,98841.37,1106267.00
Qasim,94453.36,751056.00
Chittagong,94980.73,1629000.00
Manila,91870.05,3673000.00
Southampton,87532.32,1662000.00
Haifa,85320.54,1196000.00
Algeciras,85496.06,4457000.00
Valencia,84124.66,4442000.00
Valparaiso,84120.56,902542.00
Cartagena,82306.64,2385542.00
Livorno,76963.48,323616.00
Dalian,76315.59,10128000.00
Yokohama Ko,75710.25,2775000.00
Puerto San Antonio,74777.82,1077478.00
Puerto Del Callao,73370.08,1992000.00
Guangzhou,74717.35,16160000.00
Da Chan Bay,73168.80,1000000.00
Melbourne,68032.19,2554000.00
Gdynia,67236.24,1212000.00
Puerto Limon,65592.32,748029.00
Liverpool,55377.02,588053.00
Semarang,53700.27,537002.70
Felixstowe,50353.62,3680000.00
St Petersburg,50249.87,2375000.00
Buenos Aires,48774.12,1400760.00
Sines,51249.98,503852.00
All Ports in Cambodia,47857.94,478579.40
Mina Jabal Ali,47110.04,14750000.00
Puerto Castilla,45419.04,103288.00
Tauranga,48269.85,851100.00
Acajutla,44253.84,189466.00
Goteborg,43782.81,926844.00
Colombo,43015.33,4097000.00
Kelang,45598.85,10736000.00
Gwangyang Hang,40856.65,2318000.00
Shilong,40382.95,2943000.00
Fuzhou,40376.39,2237000.00
Taipei,43344.83,1330000.00
Gioia Tauro,41538.15,3062000.00
Marseille,39557.91,1062000.00
Manzanillo (Mex),40832.55,2368741.00
Shimizu,37851.30,378513.05
Mumbai,37075.66,2000000.00
Constantinopole,38758.93,3445000.00
Cagliari,35945.19,1000000.00
Vitoria,35716.32,193917.00
Palembang,35213.29,352132.92
Vienna,34492.74,323000.00
Sydney,33242.26,2247000.00
Durban,36387.83,2664000.00
Navegantes,32011.41,593359.00
Corinto,31159.63,138006.00
Bahia San Vicente,30741.19,456176.00
Bratislava,29463.88,50000.00
Cebu,29426.51,294265.13
Haina,29396.01,417642.00
Caucedo,35338.17,826935.00
Rio de Janeiro,28377.90,279991.00
Lazaro Cardenas,29946.35,1058747.00
Gemlik,27712.88,708365.00
Santo Domingo,26665.13,50398.00
Puerto Quetzal,30098.83,389209.00
Piraievs,27070.23,667135.00
Aliaga,26677.82,536518.00
Izmir,25509.21,821591.00
Damietta,24788.62,1213187.00
Puerto Caldera,24597.12,235268.00
Rio Grande,23990.71,726785.00
St John,24353.49,97114.00
Aarhus,26290.75,233422.21
Mersin,23472.48,1484000.00
Lianyungang,23111.28,5005000.00
Belawan,22888.64,228886.40
Progreso,21543.94,67653.00
Port De Salvador,22689.62,283500.00
Mina Raysut,20056.38,3030000.00
Altamira,19691.28,647369.00
South Riding Point,20200.93,1400000.00
Napoli,22847.94,500000.00
Barcelona,23151.42,1894000.00
Sepetiba Bay,19167.18,228173.00
constanta,18846.84,92005.00
Auckland,25951.17,843590.00
Pipavav Bandar,18238.46,177000.00
Veracruz,18735.96,931613.00
All Other Chile Ports,17499.66,174996.63
Port Adelaide,15968.86,382681.00
Rauma,15664.77,156647.70
All Other Norway Ports,14933.90,149339.00
Halifax,14966.09,418359.00
Port Said,14891.31,3036000.00
Montevideo,13859.14,811297.00
Hakata,14411.17,722826.00
Paita,13420.50,214483.00
Klaipeda,13418.00,134180.00
Puerto Plata,17000.10,58410.00
Dublin,13144.43,2153000.00
Budapest,12823.36,220000.00
Port Au Prince,16213.42,178452.00
Hai Phong,16915.94,500000.00
Koper,13902.38,122519.10
Jeddah,12451.79,4200000.00
Al Aqabah,11468.50,767000.00
Sendai,13088.55,50000.00
Coquimbo,18254.27,4674.00
Cape Town,11220.24,766127.00
Kingston,10197.30,1607122.00
Riga,10033.93,100339.30
Ringaskiddy,9894.01,98940.05
Itajai,12399.96,983756.00
All Other Brazil Ports South of Recife,12090.55,95042.55
Tuticorin,11634.65,612000.00
Santa Marta,9103.00,160034.00
All Other Nicaragua Caribbean Region Ports,8700.01,87000.14
Davao,11883.96,85978.70
Kleinhuningen,8572.21,85722.10
All Other India West Coast Ports,8013.87,80138.69
Mombasa,9715.67,180000.00
Ashdod,7662.86,1250000.00
Tema,7951.65,76406.40
Tanger,7827.09,3354000.00
Yantai,7500.53,2361000.00
Manzanillo (Pan),7380.28,1406030.00
Varna,6992.82,138459.00
Abidjan,8948.31,69142.30
Puerto Cabello,17870.18,438244.00
Pasir Gudang,6806.06,844856.00
San Pedro,6789.65,67896.50
Izmit,6878.14,68781.37
Fredericia,6113.44,61134.39
Pecem,7675.03,179288.00
Colon,5963.32,2564102.00
Chennai,6647.52,1552000.00
All Other Turkey Mediterranean Ports,5976.63,59766.34
Asuncion,5902.46,57638.80
Balboa,6405.11,3236355.00
Osaka,5466.31,2161000.00
Barranquilla,7561.53,148880.00
All Other Fiji Islands Ports,5776.27,52445.21
Eemshaven,5280.92,52232.76
Douala,6753.59,530000.00
Tallinn,4872.01,48720.10
All Other Vietnam Ports,4861.36,48613.63
Reykjavik,4324.89,100000.00
Khawr Fakkan,771.24,4256000.00
Vancouver,4497.19,2912900.00
Marsaxlokk,434.26,2869000.00
Rades,3667.53,1840173.00
Dammam,1253.90,1655000.00
Karachi,6814.43,1591000.00
Bangkok,3610.70,1536000.00
Alexandria,1010.35,1520000.00
Taichung,256.06,1514000.00
Pulau Pinang,2699.92,1266000.00
Nanjing,5530.72,1160300.00
Jiangyin,2954.63,1000000.00
Beirut,1869.27,994601.00
Buenaventura,3677.79,911533.00
Cristobal,4385.85,812783.00
Paranagua,269.74,782346.00
Djibouti,3373.75,773141.00
Casablanca,1519.55,760883.00
Qinhuangdao,3228.01,750000.00
Doha,1581.96,750000.00
Thilawa,2291.30,617169.00
Dar es Salaam,1820.05,600000.00
Dakar,1721.55,600000.00
