Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Chiwan,Algeciras,Valencia,Khawr Fakkan,Jeddah,Colombo,Santos,Felixstowe,Manila,Constantinopole,Tanger,Balboa,Gioia Tauro,Port Said,Mina Raysut,Shilong,Vancouver,Marsaxlokk,Yokohama Ko,Nagoya Ko,Durban,Kobe,Colon,Le Havre,Melbourne,Cartagena,St Petersburg,Manzanillo (Mex),Yantai,Gwangyang Hang,Sydney,Fuzhou,Genova,Osaka,Dublin,Mumbai,Puerto Del Callao,Barcelona,Rades,Surabaja,Southampton,Dammam,Chittagong,Guayaquil,Kingston,Karachi,Chennai,Bangkok,Alexandria,Taichung,Mersin,Mundra,Manzanillo (Pan),Buenos Aires,South Riding Point,Taipei,La Spezia,Pulau Pinang,Ashdod,Damietta,Gdynia,Haifa,Nanjing,Puerto Moin,Puerto San Antonio,Marseille,Lazaro Cardenas,Da Chan Bay,Cagliari,Jiangyin,Beirut,Itajai,Veracruz,Goteborg,Buenaventura,Valparaiso,Tauranga,Pasir Gudang,Auckland,Caucedo,Izmir,Cristobal,Montevideo,Paranagua,Djibouti,Al Aqabah,Cape Town,Casablanca,Qasim,Qinhuangdao,Doha,Puerto Limon,Rio Grande,Hakata,Gemlik,Piraievs,Altamira,Puerto Cortes,Thilawa,Tuticorin,Dakar,Dar es Salaam,Navegantes,Liverpool,Aliaga,Douala,Santo Tomas,Sines,Napoli,Hai Phong,Bahia San Vicente,Puerto Cabello,Puerto Barrios,Halifax,Haina,Puerto Quetzal,Port Adelaide,Livorno,Vienna,Port De Salvador,Rio de Janeiro,Puerto Caldera,Sepetiba Bay,Budapest,Paita,Vitoria,Acajutla,Mombasa,Pecem,Port Au Prince,Pipavav Bandar,Santa Marta,Barranquilla,Varna,Corinto,Puerto Castilla,Reykjavik,St John,Progreso,Puerto Plata,Santo Domingo,Sendai,Bratislava,Shimizu,All Other Brazil Ports South of Recife,Eemshaven,All Other Chile Ports,All Other India West Coast Ports,All Other Fiji Islands Ports,Coquimbo,Asuncion,Kleinhuningen,Cebu,Izmit,All Other Vietnam Ports,Semarang,All Other Turkey Mediterranean Ports,All Other Norway Ports,Tema,All Other Nicaragua Caribbean Region Ports,Palembang,Abidjan,San Pedro,Belawan,Davao,All Ports in Cambodia,Klaipeda,Aarhus,Rauma,Koper,Ringaskiddy,Tallinn,Constanta,Riga,Fredericia,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Shanghai,0.00,4602.84,1715.17,1715.17,218.02,1086.51,887.32,1975.07,12379.88,1326.34,14208.74,5132.16,1087.74,1136.18,14188.17,14369.30,1038.07,4722.75,4800.29,3802.86,13970.15,5003.73,846.69,2273.59,10036.55,31687.98,16157.68,17194.52,12289.57,15326.25,8177.92,24616.25,14249.38,2115.55,18768.14,16346.10,18972.14,18353.79,17031.16,12220.55,3174.20,10696.10,18453.13,2273.59,2004.67,18716.44,1814.51,29875.11,14400.13,11477.30,18837.66,15494.79,18343.50,748.57,916.93,14422.67,896.36,17733.65,1814.51,13990.72,10036.55,20448.66,16985.08,18112.23,5111.59,14568.48,12989.70,6629.31,19471.80,18307.83,10975.28,7918.03,4822.09,17320.66,916.93,17768.97,10883.24,18343.50,29288.10,17358.78,578.99,17733.65,4751.85,17099.67,17031.16,14784.77,17359.56,1677.05,18304.07,23042.07,17462.99,14910.62,1975.07,17852.34,477.92,17291.05,25315.15,17376.88,13948.34,20472.76,23042.07,12707.50,4602.84,12536.69,17780.24,18207.98,18783.72,27629.89,25195.24,14166.52,16573.31,22140.72,16347.84,10975.28,1256.09,12890.36,18304.07,26444.04,1087.74,18866.25,18307.83,17974.71,18734.05,5659.75,8277.77,18622.66,15696.81,25315.15,14039.16,18207.98,24063.66,18425.72,15748.27,18113.96,2704.80,23000.92,18698.40,18425.72,14760.61,17898.42,16857.81,13053.73,17951.67,19018.84,22230.04,24006.42,17248.39,24295.92,20012.23,19241.00,23208.18,16887.42,15408.54,20381.67,17780.24,10324.82,18717.75,18569.97,19126.14,17248.39,19025.52,12988.53,14902.33,18315.61,17590.09,17780.24,2684.23,19515.54,1405.10,22038.65,13920.48,23042.07,10785.13,10748.97,22675.04,37687.97,17880.87,2345.06,18956.56,2753.24,5152.74,17580.55,12278.08,22255.93,18444.04,4961.35,21517.62,32975.81,5229.77,3091.90,4243.10,15004.02,13800.56,14854.51,18638.58,14209.97,15383.83,19057.63,15383.83,13988.98,10003.93,9617.39,10387.77,11198.07,11847.30,18603.88,18611.40,17697.95,17028.14,16088.18
Singapore,4602.84,0.00,3154.13,3154.13,4651.28,5490.67,5490.17,3244.44,8595.86,5929.18,18612.91,529.32,3713.78,5739.02,18592.33,18773.46,3564.77,119.91,1694.60,1486.89,18374.31,967.83,5449.53,6677.75,6252.53,28020.29,17572.53,16872.40,8505.55,11542.22,4294.56,27874.48,18653.55,3291.09,14984.11,17620.98,23376.30,15165.75,13247.14,8436.53,4233.35,15100.26,15265.09,6677.75,6408.83,14932.42,6218.68,33133.34,18804.29,12662.31,23241.82,19898.95,22747.66,5351.42,5321.09,18826.84,4042.69,16083.91,6218.68,18394.88,6252.53,24852.82,16534.46,15842.85,1947.71,18972.65,9205.68,3213.55,23875.96,22711.99,7191.26,4432.03,1646.16,13536.63,3882.13,13984.94,7099.22,22747.66,32546.33,21762.94,4023.85,16083.91,938.73,13315.64,13247.14,19188.93,13575.54,6279.89,22708.23,27446.23,16492.09,19314.78,3244.44,15863.43,5080.76,13507.03,28573.38,21781.04,18352.51,24876.92,27446.23,15425.82,50.00,15255.01,22184.41,14423.96,23187.88,30888.12,28453.47,10382.50,12789.29,18356.70,18031.61,7191.26,5858.94,9106.34,22708.23,29702.27,5491.90,15082.22,14523.81,22378.87,23138.21,2413.57,4663.33,20616.50,11912.79,28573.38,18443.32,14423.96,23715.41,22829.88,17981.94,15504.91,2775.05,27405.09,23102.56,22829.88,19164.77,22302.58,21261.98,10735.69,16132.35,19469.34,25488.27,27264.65,21652.55,27554.15,20056.35,23645.17,26466.41,21291.58,11624.52,24342.33,22184.41,6540.80,23121.91,22974.13,15342.12,21652.55,23429.68,17392.69,19306.49,22719.77,21994.25,22184.41,7088.39,19559.65,5809.27,25296.88,18324.64,27446.23,7001.10,13607.78,27079.20,40946.20,19287.20,3461.90,15172.53,2963.47,1637.64,13796.53,16682.24,24249.78,22848.21,557.19,23511.46,36234.04,1107.09,4010.57,1207.65,19408.19,18204.73,19258.67,15962.26,18614.14,19787.99,15273.61,19787.99,18393.15,14408.09,14021.55,14791.93,15602.23,16251.46,23008.04,23015.56,22102.11,21432.30,20492.34
Yantian,1715.17,3154.13,0.00,35.87,1763.61,2603.01,2602.50,526.36,10931.17,3041.51,15725.24,3683.45,966.60,2851.36,15704.67,15885.79,677.10,3274.05,3351.58,2354.15,15486.64,3555.02,2561.86,3790.09,8587.84,30355.60,17674.18,18711.02,10840.86,13877.54,6729.22,26132.74,15765.88,1585.00,17319.43,17862.59,20488.63,17501.06,15582.45,10771.85,1725.49,12212.60,17600.40,3790.09,3521.16,17267.73,3331.01,31391.60,15916.63,12431.85,20354.16,17011.28,19859.99,2463.75,2433.42,15939.17,1155.02,18419.22,3331.01,15507.22,8587.84,21965.15,18501.57,18178.17,4014.10,16084.98,11540.99,5180.60,20988.30,19824.32,9526.57,6469.32,3373.38,15871.95,1035.10,16320.26,9434.53,19859.99,30804.60,18875.28,1136.18,18419.22,3303.14,15650.96,15582.45,16301.27,15910.85,3392.22,19820.56,24558.57,18827.40,16427.11,526.36,18198.74,2193.09,15842.34,26831.65,18893.37,15464.84,21989.26,24558.57,13662.05,3154.13,13491.24,19296.74,16759.27,20300.21,29146.39,26711.74,12717.82,15124.60,20692.01,17864.33,9526.57,2971.27,11441.66,19820.56,27960.54,2604.24,17417.54,16859.12,19491.20,20250.54,4211.04,6829.06,20139.15,14248.10,26831.65,15555.66,16759.27,25580.16,19942.21,17264.77,17840.23,1256.09,24517.42,20214.90,19942.21,16277.11,19414.91,18374.31,13012.81,18467.66,20535.34,23746.53,25522.92,18764.88,25812.41,21528.73,20757.50,24724.67,18403.91,13959.83,21898.16,19296.74,8876.11,20234.24,20086.46,17677.43,18764.88,20542.01,14505.03,16418.82,19832.10,19106.58,19296.74,4200.72,21032.03,2921.60,23555.15,15436.97,24558.57,9336.42,11703.52,24191.53,39204.47,19397.36,2095.49,17507.85,1304.54,3704.03,16131.84,13794.58,23772.43,19960.54,3512.64,23034.11,34492.30,3781.06,3041.51,2794.39,16520.52,15317.06,16371.00,18297.57,15726.47,16900.32,17608.92,16900.32,15505.48,11520.42,11133.89,11904.26,12714.56,13363.80,20120.37,20127.90,19214.44,18544.63,17604.67
Hong Kong,1715.17,3154.13,35.87,0.00,1763.61,2603.01,2602.50,526.36,10931.17,3041.51,15725.24,3683.45,966.60,2851.36,15704.67,15885.79,677.10,3274.05,3351.58,2354.15,15486.64,3555.02,2561.86,3790.09,8587.84,30355.60,17674.18,18711.02,10840.86,13877.54,6729.22,26132.74,15765.88,1585.00,17319.43,17862.59,20488.63,17501.06,15582.45,10771.85,1725.49,12212.60,17600.40,3790.09,3521.16,17267.73,3331.01,31391.60,15916.63,12431.85,20354.16,17011.28,19859.99,2463.75,2433.42,15939.17,1155.02,18419.22,3331.01,15507.22,8587.84,21965.15,18501.57,18178.17,4014.10,16084.98,11540.99,5180.60,20988.30,19824.32,9526.57,6469.32,3373.38,15871.95,1035.10,16320.26,9434.53,19859.99,30804.60,18875.28,1136.18,18419.22,3303.14,15650.96,15582.45,16301.27,15910.85,3392.22,19820.56,24558.57,18827.40,16427.11,526.36,18198.74,2193.09,15842.34,26831.65,18893.37,15464.84,21989.26,24558.57,13662.05,3154.13,13491.24,19296.74,16759.27,20300.21,29146.39,26711.74,12717.82,15124.60,20692.01,17864.33,9526.57,2971.27,11441.66,19820.56,27960.54,2604.24,17417.54,16859.12,19491.20,20250.54,4211.04,6829.06,20139.15,14248.10,26831.65,15555.66,16759.27,25580.16,19942.21,17264.77,17840.23,1256.09,24517.42,20214.90,19942.21,16277.11,19414.91,18374.31,13012.81,18467.66,20535.34,23746.53,25522.92,18764.88,25812.41,21528.73,20757.50,24724.67,18403.91,13959.83,21898.16,19296.74,8876.11,20234.24,20086.46,17677.43,18764.88,20542.01,14505.03,16418.82,19832.10,19106.58,19296.74,4200.72,21032.03,2921.60,23555.15,15436.97,24558.57,9336.42,11703.52,24191.53,39204.47,19397.36,2095.49,17507.85,1304.54,3704.03,16131.84,13794.58,23772.43,19960.54,3512.64,23034.11,34492.30,3781.06,3041.51,2794.39,16520.52,15317.06,16371.00,18297.57,15726.47,16900.32,17608.92,16900.32,15505.48,11520.42,11133.89,11904.26,12714.56,13363.80,20120.37,20127.90,19214.44,18544.63,17604.67
Ningbo,218.02,4651.28,1763.61,1763.61,0.00,1304.54,1105.35,2023.51,12428.32,1544.36,14426.77,5180.60,1136.18,1354.21,14406.19,14587.32,1086.51,4771.20,4848.73,3851.30,14188.17,5052.17,1064.71,2491.62,10084.99,31852.75,16375.70,17412.55,12338.01,15374.69,8226.37,24834.27,14467.41,2163.99,18816.58,16564.12,19190.16,18571.81,17079.60,12269.00,3222.64,10914.13,18671.15,2491.62,2222.69,18764.88,2032.54,30093.13,14618.15,11625.08,19055.68,15712.81,18561.52,966.60,1134.95,14640.70,944.80,17951.67,2032.54,14208.74,10084.99,20666.68,17203.10,18330.25,5160.03,14786.51,13038.14,6677.75,19689.82,18525.85,11023.72,7966.47,4870.53,17369.10,965.37,17817.41,10931.68,18561.52,29506.13,17576.81,627.43,17951.67,4800.29,17148.11,17079.60,15002.79,17408.00,1895.07,18522.09,23260.09,17681.01,15128.64,2023.51,18070.36,695.94,17339.49,25533.18,17594.90,14166.37,20690.79,23260.09,12855.28,4651.28,12684.47,17998.27,18256.42,19001.74,27847.92,25413.26,14214.97,16621.75,22189.16,16565.86,11023.72,1474.12,12938.81,18522.09,26662.07,1305.76,18914.69,18356.27,18192.73,18952.07,5708.19,8326.21,18840.68,15745.25,25533.18,14257.19,18256.42,24281.69,18643.74,15966.29,18331.99,2753.24,23218.95,18916.43,18643.74,14978.64,18116.44,17075.84,13201.51,18169.70,19236.87,22448.06,24224.45,17466.41,24513.94,20230.26,19459.03,23426.20,17105.44,15456.98,20599.69,17998.27,10373.26,18935.77,18787.99,19174.58,17466.41,19243.54,13206.55,15120.35,18533.63,17808.11,17998.27,2902.25,19733.56,1623.13,22256.68,14138.50,23260.09,10833.57,10896.75,22893.06,37906.00,18098.89,2393.51,19005.00,2801.69,5201.18,17628.99,12496.11,22473.96,18662.07,5009.79,21735.64,33193.83,5278.21,3140.34,4291.54,15222.05,14018.59,15072.53,18856.61,14428.00,15601.85,19106.07,15601.85,14207.01,10221.95,9835.42,10605.79,11416.09,12065.33,18821.90,18829.43,17915.97,17246.16,16306.20
Pusan,1086.51,5490.67,2603.01,2603.01,1304.54,0.00,1295.51,2862.90,13267.71,1564.94,13359.09,6020.00,1876.23,1304.54,13338.52,13519.65,1925.90,5610.59,5688.12,4690.69,13120.50,5891.56,1354.21,1734.01,10924.39,30838.33,15308.03,16344.87,13177.40,16214.08,9065.76,23766.60,13399.73,2904.05,19278.79,15496.45,18122.49,17504.14,17918.99,13108.39,4062.03,9846.45,17603.48,1734.01,1155.02,19604.27,1105.35,29025.46,13550.48,11563.36,17988.01,14645.14,17493.85,987.17,436.05,13573.02,1784.19,16884.00,1105.35,13141.07,10924.39,19599.01,16135.42,17262.57,5900.08,13718.83,13877.54,7517.15,18622.15,17458.18,11863.12,8805.87,5709.93,18208.49,1804.76,18656.80,11771.07,17493.85,28438.45,16509.13,1466.83,16884.00,5639.68,17987.50,17918.99,13935.12,18247.39,2523.73,17454.41,22192.42,16613.34,14060.96,2862.90,17002.68,1324.60,18178.88,24465.50,16527.23,13098.69,19623.11,22192.42,12197.52,5490.67,12026.71,16930.59,18950.39,17934.07,26780.24,24345.59,15054.36,17461.14,23028.56,15498.19,11863.12,1494.69,13778.20,17454.41,25594.39,337.94,19376.90,18581.62,17125.05,17884.40,6547.58,9165.61,17773.01,16584.64,24465.50,13189.51,18950.39,23214.01,17576.06,14898.62,17264.31,3592.64,22151.27,17848.75,17576.06,13910.96,17048.77,16008.16,13139.79,17102.02,18169.19,21380.39,23156.77,16398.73,23446.27,19162.58,18391.35,22358.53,16037.77,16296.37,19532.02,16930.59,11212.65,17868.10,17720.31,19636.79,16398.73,18175.86,12138.88,14052.68,17465.96,16740.44,16930.59,1943.00,18665.89,895.13,21189.00,13070.83,22192.42,11672.96,10238.99,21825.39,36838.32,17031.22,3133.56,19467.21,3641.08,6040.57,18468.38,11428.43,21406.28,17594.39,5849.19,20667.97,32126.16,6117.60,3739.91,5130.93,14154.37,12950.91,14004.85,17788.93,13360.32,14534.18,19568.28,14534.18,13139.33,9154.27,8767.74,9538.12,10348.41,10997.65,17754.22,17761.75,16848.30,16178.49,15238.53
Qingdao Gang,887.32,5490.17,2602.50,2602.50,1105.35,1295.51,0.00,2862.39,13267.20,605.63,14215.58,6019.49,1975.07,555.96,14195.01,14376.14,1925.40,5610.08,5687.62,4690.18,13976.99,5891.05,616.66,2693.32,10923.88,31694.82,16164.52,17201.36,13176.89,16213.57,9065.25,24623.09,14256.22,3002.88,19655.46,16352.94,19078.32,18360.63,17918.48,13107.88,4061.52,10802.28,18459.97,2693.32,2213.66,19603.77,2163.99,29881.95,14406.97,12294.38,18844.50,15501.63,18350.34,308.33,1096.32,14429.51,1783.68,17740.49,2163.99,13997.56,10923.88,20554.84,16991.92,18119.07,5998.91,14575.32,13877.03,7516.64,19577.98,18314.67,11862.61,8805.36,5709.42,18207.98,1804.25,18656.29,11770.56,18350.34,29294.94,17365.62,1466.32,17740.49,5639.17,17986.99,17918.48,14791.61,18246.88,1845.40,18410.24,23148.25,17469.83,15016.79,2862.39,17859.17,1026.07,18178.38,25321.99,17483.06,13955.18,20578.94,23148.25,13127.22,5490.17,12956.41,17787.08,19095.31,18889.90,27636.73,25202.08,15053.85,17460.63,23028.05,16354.68,11862.61,605.63,13777.69,18410.24,26450.88,1366.98,19753.57,19195.15,18080.88,18840.23,6547.07,9165.10,18629.50,16584.13,25321.99,14046.00,19095.31,24070.50,18531.89,15755.11,18120.80,3592.13,23107.10,18705.24,18531.89,14767.45,17905.26,16963.99,13870.81,17958.51,19025.68,22236.88,24013.26,17354.57,24302.76,20019.07,19347.18,23215.02,16993.60,16295.87,20388.51,17787.08,11212.14,18724.59,18576.81,20013.46,17354.57,19032.36,12995.37,14909.17,18421.79,17596.93,17787.08,2998.17,19522.38,1824.83,22045.49,13927.32,23148.25,11672.45,11168.69,22781.22,37694.81,17887.71,3232.39,19843.88,3640.57,6040.06,18467.87,12284.92,22262.77,18550.22,5848.68,21524.46,32982.65,6117.09,3908.98,5130.43,15010.86,13807.40,14861.35,18645.42,14216.81,15390.67,19944.96,15390.67,13995.82,10209.44,9723.57,10493.95,11304.24,11953.48,18710.05,18618.24,17704.79,17034.98,16095.02
Guangzhou,1975.07,3244.44,526.36,526.36,2023.51,2862.90,2862.39,0.00,11021.48,3301.40,15985.13,3773.76,1226.49,3111.25,15964.56,16145.68,936.99,3364.35,3441.89,2444.46,15746.53,3645.33,2821.75,4049.98,8678.15,30445.91,17934.07,18970.91,10931.17,13967.85,6819.52,26392.64,16025.77,1745.55,17409.74,18122.49,20748.52,17591.37,15672.76,10862.15,1199.13,12472.49,17690.71,4049.98,3781.06,17358.04,3590.90,31651.50,16176.52,12691.74,20614.05,17271.17,20119.88,2723.64,2693.32,16199.06,1414.91,18509.53,3590.90,15767.11,8678.15,22225.04,18761.46,18268.47,4104.41,16344.87,11631.30,5270.91,21248.19,20084.22,9616.88,6559.63,3463.69,15962.26,1295.00,16410.57,9524.84,20119.88,31064.49,19135.17,1396.07,18509.53,3393.45,15741.27,15672.76,16561.16,16001.16,3652.11,20080.45,24818.46,18917.71,16687.00,91.65,18289.05,2452.98,15932.65,27091.54,19153.26,15724.73,22249.15,24818.46,13921.94,3244.44,13751.13,19556.63,16849.58,20560.10,29406.28,26971.63,12808.12,15214.91,20782.32,18124.22,9616.88,3231.16,11531.96,20080.45,28220.43,2864.13,17507.85,16949.43,19751.09,20510.43,4301.35,6919.37,20399.04,14338.41,27091.54,15815.55,16849.58,25840.05,20202.10,17524.66,17930.54,1346.40,24777.31,20474.79,20202.10,16537.00,19674.81,18634.20,13103.12,18557.97,20795.23,24006.42,25782.81,19024.77,26072.31,21788.62,21017.39,24984.57,18663.80,14050.14,22158.06,19556.63,8966.42,20494.13,20346.35,17767.74,19024.77,20801.90,14764.92,16678.71,20091.99,19366.47,19556.63,4460.62,21291.92,3181.49,23815.04,15696.86,24818.46,9426.73,11963.41,24451.42,39464.36,19657.25,2256.04,17598.16,1394.84,3794.34,16222.15,14054.47,24032.32,20220.43,3602.95,23294.00,34752.19,3871.36,3202.06,2884.70,16780.41,15576.95,16630.89,18387.88,15986.36,17160.21,17699.23,17160.21,15765.37,11780.31,11393.78,12164.16,12974.45,13623.69,20380.26,20387.79,19474.34,18804.53,17864.57
Mina Jabal Ali,12379.88,8595.86,10931.17,10931.17,12428.32,13267.71,13267.20,11021.48,0.00,13706.22,13603.97,8066.53,11490.82,13516.06,14063.05,13554.30,11341.81,8475.94,8044.73,9263.93,13845.02,9563.68,13226.56,14454.79,2583.15,21678.73,11230.98,10530.85,526.36,5200.67,4538.15,21532.92,13404.78,11249.25,8642.56,11279.42,21391.21,8824.19,6905.58,2094.98,12010.39,22877.30,8923.53,14454.79,14185.87,9286.24,13995.71,26791.78,13046.78,21258.17,20783.12,15857.76,20288.96,13128.45,13098.13,16268.80,11819.72,9742.35,13995.71,13187.26,2583.15,24283.71,10192.91,9501.30,10543.56,13144.89,846.69,6785.11,22970.14,20253.29,1755.81,5137.21,7993.32,7195.08,11659.17,7643.39,2242.76,20288.96,26204.78,19304.24,11800.89,9742.35,7826.71,6974.09,6905.58,14761.95,7233.98,14056.93,21371.86,26877.12,10150.53,24528.08,11021.48,9521.87,12857.79,7165.47,22231.83,21795.35,14442.85,23207.51,26877.12,23624.32,8595.86,23453.51,19357.44,8082.40,21173.18,24546.57,22111.92,4040.95,6447.73,12710.52,11690.06,1755.81,13635.97,647.50,21371.86,23360.72,13268.94,8740.67,8182.25,21984.28,21190.23,7394.99,4338.97,14274.95,5869.25,22231.83,13375.68,8082.40,18069.23,21498.56,11640.39,9163.36,10552.08,27090.31,19878.24,21498.56,16746.71,19545.86,23124.71,19331.55,9790.79,13127.79,19146.71,20923.10,22497.28,21212.59,13714.79,23090.06,20124.85,22884.88,5580.98,18000.78,19626.37,2462.01,20563.87,20515.43,9000.56,22497.28,20970.98,14835.67,16847.79,20856.62,19336.87,19357.44,14865.43,13218.10,13586.30,18955.33,13725.11,26877.12,1975.07,21736.03,26510.09,34604.65,12945.65,11660.40,8830.98,10740.50,10233.49,7454.97,16440.23,17908.23,21132.04,9153.05,17169.91,29892.48,7725.63,12209.07,8136.78,14981.20,14254.43,15361.01,9620.70,13166.69,15361.01,8932.06,15361.01,14232.63,22185.13,21798.59,22568.97,23379.27,24028.50,21466.50,20556.86,19643.41,18973.60,18033.64
Tianjin,1326.34,5929.18,3041.51,3041.51,1544.36,1564.94,605.63,3301.40,13706.22,0.00,14485.02,6458.50,2414.08,695.94,14464.44,14645.57,2364.41,6049.09,6126.63,5129.20,14246.42,6330.07,1222.30,2962.75,11362.89,31964.25,16433.95,17470.79,13615.91,16652.58,9504.26,24892.52,14525.65,3441.89,20094.47,16622.37,19347.75,18630.06,18357.50,13546.89,4500.54,11071.71,18729.40,2962.75,2483.09,20042.78,2433.42,30151.38,14676.40,12663.15,19113.93,15771.06,18619.77,577.76,1365.75,14698.95,2222.69,18009.92,2433.42,14266.99,11362.89,20824.27,17261.35,18388.50,6437.93,14844.75,14316.04,7955.65,19847.41,18584.10,12301.62,9244.37,6148.43,18646.99,2243.27,19095.31,12209.58,18619.77,29564.37,17635.05,1905.33,18009.92,6078.19,18426.00,18357.50,15061.04,18685.90,2421.43,18679.68,23417.68,17739.26,15286.23,3301.40,18128.61,1465.09,18617.39,25591.42,17752.49,14224.62,20848.37,23417.68,13396.66,5929.18,13225.84,18056.51,19534.32,19159.33,27906.16,25471.51,15492.86,17899.65,23467.06,16624.11,12301.62,436.05,14216.70,18679.68,26720.31,1636.41,20192.59,19634.17,18350.32,19109.66,6986.09,9604.11,18898.93,17023.15,25591.42,14315.43,19534.32,24339.93,18801.33,16024.54,18390.23,4031.14,23376.53,18974.67,18801.33,15036.88,18174.69,17233.42,14239.58,18227.95,19295.11,22506.31,24282.69,17624.00,24572.19,20288.51,19616.61,23484.45,17263.03,16734.88,20657.94,18056.51,11651.16,18994.02,18846.24,20452.48,17624.00,19301.79,13264.80,15178.60,18691.22,17866.36,18056.51,3267.60,19791.81,2094.26,22314.92,14196.75,23417.68,12111.47,11438.13,23050.65,37964.24,18157.14,3671.40,20282.89,4079.58,6479.08,18906.89,12554.35,22532.20,18819.65,6287.69,21793.89,33252.08,6556.10,4277.75,5569.44,15280.29,14076.83,15130.78,18914.85,14486.24,15660.10,20383.97,15660.10,14265.25,10478.88,9993.00,10763.38,11573.68,12222.91,18979.49,18887.67,17974.22,17304.41,16364.45
