Port,Containers,Capacity
Shanghai,304237,1764300
Singapore,85468,1693450
Yantian,289306,1189900
Hong Kong,129693,1118700
Ningbo,122966,972500
Pusan,169561,921150
Qingdao Gang,80110,831200
Guangzhou,7081,808000
Mina Jabal Ali,5040,737500
Tianjin,29065,702500
Rotterdam,49539,622650
Kelang,4551,536800
Kao-Hsiung,106610,529650
Dalian,7366,506400
Hamburg,26269,486450
Antwerpen,55044,456800
Xiamen,57069,428600
Tanjung Pelepas,22534,394850
Laem Chabang,25530,325900
Ho Chi Minh,29894,316700
Bremerhaven,60973,289800
Jakarta,444,251700
Lianyungang,2231,250250
Tokyo,26459,245850
Jawaharlal Nehru,21428,224800
