Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Shanghai,0,3811.040451,1197.577815,1230.394211,148.3371947,823.1569495,547.6109054,1215.643965,6458.325652,931.6906081,8931.19134,3779.347324,964.2475226,858.139639,8528.196915,8983.929386,824.5354497,3819.939337,2917.231363,2736.464454,8601.737517,4430.611117,435.2586073,1761.118647,5035.559171,7945.93382,6930.716161,9169.151,9869.149405,10456.20356,12278.0971,12497.72885,13308.91922,12586.77329,11993.94633
Singapore,3811.040451,0,2622.370073,2587.876406,3689.52447,4574.816612,4218.40443,2630.495755,5857.550151,4423.837708,10535.50067,332.4823169,2960.946254,4560.076645,10151.26205,10552.02523,2995.446209,34.16361996,1352.156624,1101.007505,10240.33791,887.3723614,4055.996141,5321.397849,3899.191736,10812.47325,10741.6959,12952.09127,13575.84112,14140.43642,16086.36264,16286.10501,17014.31245,16258.54937,15487.5822
Yantian,1197.577815,2622.370073,0,35.87228359,1088.694464,1996.833642,1603.772214,121.3602814,5982.551322,1854.261664,9309.329096,2581.861851,614.1967271,1947.71741,8899.156358,9351.347607,439.5085062,2629.746888,1765.189004,1539.56108,8980.629163,3289.065585,1441.934567,2857.926299,4303.160908,8909.106677,8123.122947,10366.58014,11058.21723,11642.7371,13472.27965,13671.70489,14454.76748,13718.25815,13064.8766
Hong Kong,1230.394211,2587.876406,35.87228359,0,1120.130259,2027.492565,1639.229984,136.9935708,5985.259352,1890.118609,9333.906605,2548.955217,622.9558888,1983.218059,8923.726848,9375.661373,463.3595463,2595.385669,1739.773691,1506.268539,9005.349805,3253.280554,1477.440415,2884.393621,4297.957401,8927.112466,8157.039709,10399.07364,11088.94127,11673.12004,13506.05989,13706.76953,14490.43705,13754.04246,13100.68078
Ningbo,148.3371947,3689.52447,1088.694464,1120.130259,0,910.0140626,694.2292886,1117.783844,6494.402976,1073.145292,9057.02615,3666.353771,818.3272865,1006.342978,8653.095017,9109.068872,695.4064687,3699.218435,2829.723569,2622.527016,8727.275284,4296.461658,574.22768,1815.542457,5032.345248,7978.089507,7052.838464,9280.783856,9970.06023,10555.34209,12397.57179,12626.71518,13443.78209,12724.11382,12137.40858
Pusan,823.1569495,4574.816612,1996.833642,2027.492565,910.0140626,0,799.4286393,2027.688865,7050.899683,1094.260953,8943.803461,4566.589673,1628.66904,782.746173,8554.34985,9003.271067,1586.01841,4586.264054,3737.401278,3523.043305,8620.572273,5135.13865,874.4043397,973.0951553,5760.642535,7172.224445,6180.547847,8382.661478,9061.450125,9645.99403,11512.59452,11771.71121,12616.34296,11914.91735,11390.14138
Qingdao Gang,547.6109054,4218.40443,1603.772214,1639.229984,694.2292886,799.4286393,0,1587.922767,6252.693011,400.0367771,8424.828089,4152.903631,1491.866124,344.2629215,8024.68878,8479.393973,1305.11241,4224.032607,3203.837656,3123.338123,8096.432845,4888.822321,162.40829,1753.564465,4983.14023,7930.274691,6547.457332,8827.269478,9571.342303,10163.94604,11893.72382,12070.32665,12852.52895,12119.41538,11494.50594
Guangzhou,1215.643965,2630.495755,121.3602814,136.9935708,1117.783844,2027.688865,1587.922767,0,5864.959275,1815.995878,9199.190543,2574.213186,720.9771497,1930.021505,8789.01065,9240.701354,513.6229791,2636.283607,1715.255859,1537.497439,8870.777994,3321.240679,1425.515506,2909.737206,4195.300837,8989.582598,8124.734179,10380.54006,11084.57841,11671.12163,13474.13128,13657.71605,14427.89502,13687.32362,13018.99347
Mina Jabal Ali,6458.325652,5857.550151,5982.551322,5985.259352,6494.402976,7050.899683,6252.693011,5864.959275,0,5990.613134,5175.597688,5525.961056,6572.356736,6329.621551,4887.307955,5161.490476,6302.910615,5825.145354,4970.919688,5655.698609,4969.565837,6583.252651,6200.588013,7969.750621,1960.745396,13758.46137,10167.93495,12083.1217,13027.69354,13453.83791,13264.09267,12733.00503,12627.38459,12099.11778,11136.48996
Tianjin,931.6906081,4423.837708,1854.261664,1890.118609,1073.145292,1094.260953,400.0367771,1815.995878,5990.613134,0,8024.894358,4329.747054,1837.720665,340.112167,7624.935397,8079.55399,1618.253515,4426.547652,3322.653642,3322.849399,7696.562037,5137.216256,499.2902422,1979.308676,4829.130643,8073.955657,6403.666338,8712.517426,9492.245481,10087.12389,11728.87653,11863.95871,12614.51814,11871.8714,11211.46128
Rotterdam,8931.19134,10535.50067,9309.329096,9333.906605,9057.02615,8943.803461,8424.828089,9199.190543,5175.597688,8024.894358,0,10217.95265,9656.80759,8229.349428,410.1806259,76.20126477,9363.072185,10509.25391,9297.991963,9889.271784,330.453263,11390.51456,8500.647184,9351.940034,6890.898078,11696.54326,7233.16974,8044.15029,8797.562303,8996.67233,8173.066641,7585.831564,7457.712224,6927.699322,5972.605024
Kelang,3779.347324,332.4823169,2581.861851,2548.955217,3666.353771,4566.589673,4152.903631,2574.213186,5525.961056,4329.747054,10217.95265,0,2980.957245,4490.0476,9836.06722,10233.34458,2980.581656,301.2135074,1122.653706,1043.913732,9925.215301,1180.927787,3991.085574,5357.540224,3567.150289,10994.00651,10698.21364,12947.13261,13613.22642,14188.57146,16046.53854,16182.66062,16850.33958,16091.06873,15280.40741
Kao-Hsiung,964.2475226,2960.946254,614.1967271,622.9558888,818.3272865,1628.66904,1491.866124,720.9771497,6572.356736,1837.720665,9656.80759,2980.957245,0,1819.070235,9248.148572,9703.740892,301.8172008,2974.460363,2304.105534,1950.313072,9326.441634,3508.712386,1349.554451,2377.793781,4916.030788,8324.169393,7808.838153,9991.279798,10632.56715,11207.82791,13133.32926,13400.13537,14237.40916,13526.20061,12954.09184
Dalian,858.139639,4560.076645,1947.71741,1983.218059,1006.342978,782.746173,344.2629215,1930.021505,6329.621551,340.112167,8229.349428,4490.0476,1819.070235,0,7833.863882,8286.31134,1645.049329,4565.341895,3525.116772,3463.596674,7903.022672,5233.058786,505.7836801,1640.132576,5159.18544,7743.649771,6213.963999,8502.405647,9258.695714,9852.405587,11557.33716,11727.71852,12508.27363,11775.27428,11154.00532
Hamburg,8528.196915,10151.26205,8899.156358,8923.726848,8653.095017,8554.34985,8024.68878,8789.01065,4887.307955,7624.935397,410.1806259,9836.06722,9248.148572,7833.863882,0,456.2550154,8954.054628,10125.51778,8903.085042,9488.843063,89.22085857,11011.68582,8098.498195,8984.223492,6550.952557,11610.04116,7129.764307,8089.552091,8880.091532,9114.278407,8413.640896,7850.508266,7768.742938,7213.075804,6249.182045
Antwerpen,8983.929386,10552.02523,9351.347607,9375.661373,9109.068872,9003.271067,8479.393973,9240.701354,5161.490476,8079.55399,76.20126477,10233.34458,9703.740892,8286.31134,456.2550154,0,9409.360394,10525.52397,9320.902386,9916.060307,383.2934022,11404.16099,8553.961657,9417.460625,6890.640934,11767.48087,7305.808841,8103.546996,8852.097098,9046.233528,8201.028421,7608.626847,7468.630712,6945.722408,5993.272285
Xiamen,824.5354497,2995.446209,439.5085062,463.3595463,695.4064687,1586.01841,1305.11241,513.6229791,6302.910615,1618.253515,9363.072185,2980.581656,301.8172008,1645.049329,8954.054628,9409.360394,0,3005.618452,2203.029763,1937.173764,9032.809602,3606.633782,1151.209845,2422.657976,4682.96773,8476.163453,7747.823759,9968.101746,10642.3869,11224.28962,13091.06358,13321.35827,14132.6687,13408.28151,12799.02648
Tanjung Pelepas,3819.939337,34.16361996,2629.746888,2595.385669,3699.218435,4586.264054,4224.032607,2636.283607,5825.145354,4426.547652,10509.25391,301.2135074,2974.460363,4565.341895,10125.51778,10525.52397,3005.618452,0,1337.321019,1103.951022,10214.61102,907.3043439,4061.630589,5337.207285,3867.043553,10840.72761,10750.64085,12965.08863,13592.84554,14158.48706,16096.66041,16289.85908,17011.45662,16254.95957,15478.83205
Laem Chabang,2917.231363,1352.156624,1765.189004,1739.773691,2829.723569,3737.401278,3203.837656,1715.255859,4970.919688,3322.653642,9297.991963,1122.653706,2304.105534,3525.116772,8903.085042,9320.902386,2203.029763,1337.321019,0,684.8706915,8991.447492,2233.681913,3047.051542,4622.54947,3053.800369,10612.26403,9726.285843,12027.27763,12771.54861,13362.40342,15038.12861,15102.50422,15732.16136,14972.98801,14158.32288
